,tweet_id,text,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
56,443749294697619456l,PETR4 e VALE5 em leve repique. Pouco ainda pra reverter o quadro. Vamos ver até onde vai.,-2,-2,-2,-2,1,0,0,0,-1,0.0,0.0,0.667,1.0,3
60,453279716787912704l,"@FIBONACCISEMPRE E agora to indo pra casa , logo mais a noite vou ver as Ondas de Elliot do #ibovespa e da #PETR4 .",0,0,-2,-2,0,1,0,0,-1,0.667,0.333,0.667,1.0,3
61,446987129781243904l,$RENT3 - Localiza (rent-nm) - Demonstracoes Financeiras De 31/12/2013 (individual) http://t.co/CIl9uDCcBK,0,0,0,0,0,0,0,0,1,0.75,0.75,0.5,0.75,4
62,448147176351629312l,Ativo c/ vol Financeiro Superior à sua MM21-14h: ALPA4 ARZZ3 CESP6 EZTC3 LOGN3 PFRM3 SLED4,1,0,-2,-2,0,0,0,0,-1,0.667,0.0,0.667,0.667,3
63,459413003994423296l,"Rastreamento ações-Gráfico diário-16h. Analise se romper: BBRK3 5,14 CPLE6 32,76 CYRE3 13,71 GOLL4 12,72 IGTA3 22,13 ITSA4 9,89 PCAR4 106,63",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
64,446746720337416193l,"A #PETR4 cumpre o papel dela, ou seja, a empresa é um retrato perfeito do governo. Ineficiente, inflada e corrupta é quase um clone do gov.",0,1,0,1,0,0,1,0,0,1.0,0.667,0.667,1.0,3
65,468163177260523520l,Coisas extraordinarias só acontecem a pessoas extraordinarias  -Ripchip,0,0,0,1,0,0,0,0,0,1.0,0.667,1.0,1.0,3
66,461200024635183104l,@CaciqueInvest Goll4 deu tempo de sobra pra pegar rsrsr,1,0,1,0,0,0,0,0,0,0.667,0.667,1.0,1.0,3
67,442743632333123584l,@victoriabril_ forra contesta,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
68,459316647241605121l,Preço de aluguel de OIBR4 a 120% ao ano. Vale mais a pena alugar suas ações da Oi do que o seu apê.,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
70,449256807417257985l,"RT @ricocomvc: #Intraday Maiores altas do #Ibov: ELET3 +10,0% LLXL3 +8,7% RSID3 +7,2% PETR3 +7,2% BBAS3 +6,9% PETR4 +6,9%",-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
74,461148734173483008l,"Conforme esperado ações de estatais sobem qdo Dilma cai nas pesquisas: BBAS3+3,07%, PETR3,+2,30%, PETR4,+2,29%, ELET3,+3,11% e ELET6,+3,18%",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,3
75,446988104323567616l,RT @dmaintenance: $PETR4 - Bolsa promete volatilidade para hoje. Entenda [Newsletter ADVFN] http://t.co/X4HavGBp9S,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
79,449169844643319808l,"STF adiou o julgamento do caso dos bancos. Problema não resolvido, apenas postergado. Enquanto não resolver, não entro em ITUB4 nem BBAS3.",0,1,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
80,449190258312507393l,"#cmig4 foguetão, postado ontem!!!!",-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
81,472000340133699584l,"De fato, a alta de ontem no after market sinalizou uma pequena melhora em VALE5 hoje, ao menos na abertura.",0,0,0,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
82,456481054434787328l,Ativo c/ vol Financeiro Superior à sua MM21-14h: BBPO11 CPFE3 DTEX3 JSLG3 SMLE3,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
85,447013640026480640l,"RT @ppaulovagner: @garimpodeacoes #CSNA3 
ILG = 0,23
ILC = 0,78
ILS = 0,40
Se achar alguma coisa boa lá, vende!",0,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
86,449325373382463488l,"@DENISSITO @FernandoCesar77 @BlogdoNoblat Ações PETR3 e 4 valorizaram 12% no mês, desde início perseguição tucana. Brigaduu @rede_globo",1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
87,445981947366744065l,treze pila na cabeça ! #PETR4,-2,-2,-2,-2,-2,-2,0,0,-1,0.0,0.333,0.0,0.667,3
88,451057586591506432l,Kroton ON (#KROT3) é a ação que mais se valorizou no 1º trimestre. http://t.co/1uSfwwIMW0,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
89,455856354897694720l,"RT @SoNaquelaa: Já estou é a criar demasiadas expectativas, tenho que parar, senão vai correr mal outra vez",1,0,1,0,1,0,0,1,0,0.667,0.667,0.667,1.0,3
90,456140272339279872l,"No momento PETR4 respeita o suporte de R$15,42.",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
91,456846119000342528l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:BEEF3 10,52 BRAP4 21,55 CESP6 27,77 ELPL4 9,18 ENBR3 10,59  IGTA3 22,08 LIGT3 19,05",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
92,446002116600299520l,"Rastreamento ações-Gráfico diário-15h. Analise se romper:  ALSC3 17,79 BRFS3 44,54 BRML3 18,30 BVMF3 10,43 CCRO3 16,70 ESTC3 22,31",0,0,-1,-1,-2,-2,-1,-1,-1,0.667,0.667,0.333,0.667,3
95,441553962857025537l,"Petrobras surpreende: Novo recorde no pré-sal

A PETROBRAS (PETR4) informou ontem à noite, após o fechamento do... http://t.co/tOdUdKD8dF",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
96,449372506143866880l,@KatiaAbreu como assim CPI prejudicará #PETR4? imagino q Sra entenda a corrente gravidade e saiba oq seja CPI. @agenciapf @MPF_PGR ctz fará,0,1,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
97,446002296842108928l,"Rastreamento ações-Gráfico diário-16h. Analise se romper: MULT3 46,57 RADL3 16,82  SMLE3 38,79 SULA11 14,95 TAEE11 19,13 VIVT4 44,71",-2,-2,0,0,-1,-1,-2,-2,-1,0.333,0.667,0.667,0.333,3
98,449658348586414080l,RT @stanleyburburin: Uma das corretoras q mais compraram a ação PETR4 da Petrobras:'Dados recebidos em: 28/03/2014 17:03: Goldman Sachs'- h…,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
100,443516696876576770l,que linda era esa mina chabonnn,0,0,0,0,0,0,0,0,1,1.0,0.667,1.0,1.0,3
101,468833224442273792l,Ativo c/ vol Financeiro Superior à sua MM21-16h: ALPA4 ALUP11 BBAS3 BBDC3 BEEF3 BRFS3 BRPR3 CCRO3 CMIG3 CPFE3 EMBR3 EQTL3 ESTC3 GGBR4 GUAR3,-2,-2,0,0,-1,-1,0,0,-1,0.333,0.667,0.667,0.667,3
102,444557092226342912l,Ativo c/ vol Financeiro Superior à sua MM21-16h: LREN3 MGLU3 MILS3 MRVE3 PINE4 SLCE3 SUZB5 USIM3 USIM5,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
104,443178803557580800l,"Ano passado eu falei que até o final de 2104 #PETR4 estaria abaixo de R$10,00 mas acho que errei, não vai demorar tanto.",0,1,0,0,0,0,-2,-2,-1,1.0,0.667,0.667,0.0,3
105,445604215084564480l,"Depois de módico repique, Vale5 vai caindo na Bovespa, neste momento.",0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
106,447493169601855488l,"Análise semanal - IBOV, PETR4, VALE5, GGBR4, CSNA3, MDIA3, MPLU3, TIMP3 e ESTC3. Assista! http://t.co/1aIKqskUg9",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
109,453660270121193472l,"A LIGHT S.A. fechou o dia de hoje, ao preço de R$ 18,27 (-1,93%) com volume de R$ 22,94 mm.
$LIGT3",0,0,0,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
110,444478900065017856l,"@ppaulovagner  11h22 = Ações USIMINAS... Usim3 +1,76% e Usim5 +3,61%...",0,0,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
111,458591709140512769l,Conheça as empresas que mais pagam dividendos no Ibovespa: O Santander (SANB11) é a empresa com o maior dividend... http://t.co/ixCZN72EkR,0,0,0,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
112,456065660704260096l,"RT @garimpodeacoes: 10h42 = IBOVESPA perde 0,92%...
Vilã do dia: VALE3, -2,75% e VALE5, -1,71%, de olho na China...",-2,-2,0,1,0,1,1,0,-1,0.0,1.0,0.667,0.667,3
113,472016992686583810l,#IBOV #VALE5 Minério de ferro na China recua à mínima de 20 meses: http://t.co/SfiSqGtvoz,0,1,0,1,0,0,0,1,0,0.667,0.667,0.667,0.667,3
114,451440468887625728l,@Andresmoraes isso sem contar os 30% da #PETR4 ... o.O,0,1,0,1,0,1,0,1,0,0.667,0.667,1.0,0.667,3
115,447000185927766016l,"TEMPO REAL: Petrobras, Eletrobras e BB despencam, Vale sobe mais de 1%: Acompanhe aqui a atu... http://t.co/ZYP5EXzvBH #infomoney #vale5",0,0,0,0,0,0,0,0,1,0.5,0.75,1.0,0.75,4
116,461192942708097025l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:  LREN3 64,70  PETR3 16,21 PETR4 17,14 VIVT4 46,75 WEGE3 26,92",0,0,0,0,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
117,460127501138681856l,"Haverá uma luz no final deste túnel? #ELPL4, gráfico mensal em http://t.co/K9qcsmouvf http://t.co/JgEMVMKYsS",0,1,-2,-2,0,0,0,1,-1,0.667,0.333,0.667,0.667,3
119,459320788777443329l,PETR4 com vol. financeiro cerca de 9 vezes a VALE5. Explode ?,-1,-1,0,0,-2,-2,0,1,-1,0.667,0.667,0.333,0.667,3
120,453838159911329792l,@ferrisss @valor_economico @exame_mercados Análise fundamentos do Grupo Pão de Açúcar #GPA #CBD #PCAR3 #PCAR4 12/2013 http://t.co/GYFJfNZm5O,-1,-1,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
122,445900371408728064l,$PETR4 - Petrobras: Produção é prioridade no momento [Newsletter ADVFN] http://t.co/GSFIVOj2pd,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,0.667,3
123,442007598456668160l,#DEAL ! #VALE5 NEXT VINTE E SETE E DEZ ... http://t.co/B3mGCukpm0,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
124,459313608053100545l,#Noticia Usiminas sai de prejuízo e lucra R$ 222 milhões no 1º trimestre:   A Usiminas (USIM5) teve lucro líq... http://t.co/WLq0rLGR40,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
125,443403473875644416l,"Rastreamento ações-Gráfico diário-12h. Analise se romper: ALLL3 7,03 CCRO3 16,43 ECOR3 13,03 ESTC3 22,11 GFSA3 3,29 ICON 2242,21",-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
126,451073516524552192l,EU NÃO MEREÇO #Petr4 #Petr3 #CPIdaPetrobras http://t.co/0Lj5to6AWP,0,1,0,1,0,0,0,0,0,0.667,0.667,0.667,0.667,3
127,448099233779154945l,Operação comentada na sexta sobre ITUB4 x BBDC4 caminhando na direção esperada!,1,0,1,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
128,446040497023635456l,"@Live_Trade tudo isso mais os que ja vinham de continuidade cm artr3, bvmf3 e imch3",-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
131,445895082685001728l,"Análises de Resultados 4T13 - BRML3, FLRY3, MRVE3, SCAR3,SUZB5 por Ativa, Concódia, Coinvalores e XP em Boletins.http://t.co/qwST2T7ucy",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
132,460818314638671872l,#VALE5 #USIM5 #GGBR4 #CSNA3 Depois de uma forte correção estão ganhando força compradora principalmente nas ADR EUA.,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
133,447511780315521024l,"#USIM5 tá barata? Sei não, tem chão pra baixo na escala log.
#ToDeOlho http://t.co/Aw3FpX26l6",-2,-2,0,0,-2,-2,0,1,-1,0.0,1.0,0.0,1.0,3
134,461491747722256385l,"As Lojas Renner (LREN3) registrou lucro líquido consolidado de R$ 50,9 milhões (R$ 0,40 por ação) no primeiro trimestre de 2014, cresciment…",1,0,1,0,0,0,0,0,0,1.0,0.667,0.667,1.0,3
135,468759827041501184l,RT @ClaudioDeLucca: #PETR4 Ex-presidente da Petrobrás está ao vivo depondo no Senado http://t.co/xEmbZvEqez,-2,-2,0,0,0,1,0,0,-1,0.333,0.667,0.667,0.667,3
136,460888883191115776l,"28/04 O Ibovespa fechou estável, aos 51.395pts. Destaques: GOLL4 +4,04% e OIBR4 -5,98%. http://t.co/j9yUOf2ipY",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
137,457754481489641472l,"&lt,Alexander Cruz3 *-*",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
139,443019776181690368l,Oi #PETR4. Adeus #PETR4.,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
141,443081767936081920l,"Não faltará muito para #ITUB4 se tornar o segundo papel em peso no IBOV. Talvez na revisão de agosto!
@ferrisss @HudsonPF @dfittarelli",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
142,450725320769806336l,"ITUB4: Oportunidade 'buy-and-hold'.

Acabei de publicar mais uma análise no fórum.... http://t.co/xfyFpaLLrK",1,0,-2,-2,0,1,0,0,-1,0.667,0.0,0.667,0.667,3
143,468931548646240256l,"Futuros de NY caindo (0,55) pts, Japão caindo 0,41%, China caindo 0,48%. #PETR4_VAI_A_17_REAL !!",-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
145,441666563578822656l,#artr3 e ecor3 fechando nas máximas ...rsrsrrsrs show de bola!!!!,-2,-2,1,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
146,449271233826525184l,@chrinvestor a @dilmabr ficará quieta agora e daqui uns dias dirá q/ a valorização da #PETR4 reflete a melhoria da economia. Sempre assim.,0,1,0,1,1,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
149,449208086621069312l,@bancotario qual o setup que você usou hoje nessa 'grampada' da #PETR4 ? HAHAHAHAHA,0,1,1,0,-2,-2,0,0,-1,1.0,0.667,0.333,0.667,3
150,459843145094950912l,"25/04 O Ibovespa fechou em queda de -0,81%, aos 51.399pontos. Destaques: AEDU3 -3,72%, MFRG3 -2,88% e HGTX -2,74%.",-2,-2,0,0,-2,-2,0,0,-1,0.0,0.667,0.0,1.0,3
151,468149299365564416l,"Prepare-se para o próximo pregão: IBOV, PETR4, VALE5, CSNA3, RADL3, CSMG3, GFSA3, GOLL4, USIM5 e LPSB3. Assista! http://t.co/u4FEvc0r4G",-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
152,449628093775642624l,"Rastreamento ações-Gráfico diário-16h Analise se romper: PCAR4 101,12 PSSA3 33,74",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
153,452075169079889920l,RT @joanarauhl: a joana ta viciadinha num jogo,0,1,0,0,0,0,0,0,0,0.667,1.0,0.667,0.667,3
155,464743842542260224l,Isto não é uma VACA é a PETROBRÁS!!! #PETR4 http://t.co/QLMpMdifmj,0,1,0,1,0,1,1,0,0,1.0,0.667,1.0,1.0,3
156,461116096653692928l,Análise técnica para #VALE (VALE5) do mês de abril. http://t.co/EurZrfndGv,1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
157,463671786329374720l,#oibr4 xuxu da 'malmita' rsrsrrs,-2,-2,1,0,0,1,0,0,-1,0.333,1.0,0.667,0.667,3
158,456426558191075328l,"pô, sério que o Bradesco também terá mais peso no índice do que a #PETR4 ? Já não bastava o Itaú ter ultrapassado ? =/",0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
159,448008499973591040l,novo status: pessoas que visitaram meu perfil http://t.co/DAbXDMSS43,0,1,0,0,-2,-2,-2,-2,-1,0.667,1.0,0.333,0.333,3
160,443219869136617472l,RT @Navarro: Olha a #PETR4 ai... Leia 'Dívida da Petrobras aumenta seis vezes desde 2007 e atinge R$ 268 bilhões'  http://t.co/ApKXYCXtsR,0,1,0,0,0,0,0,0,0,0.667,0.667,1.0,0.667,3
161,448084550477185024l,"#voa #goll4, se fechar 15 acima 10,55, rompento 'Take Off'",-2,-2,1,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
164,454252123388391424l,"Expliquem essa ateus RT @O_Raul SBSP3 tá subindo 1,18% hoje, depois de uma alta de 1,7% ontem.",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
165,443391114599739392l,"RT @Smarttrade10: Ontem o dia foi de tomarem #BBDC3 e #BBDC4
Outros destaques do BTC: #PETR3 #CMIG4 #SUZB5
R$ em tx: #BBDC4 #RENT3 #OIBR4
@…",-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
166,446390972621279232l,"Impressionante o volume de PETR4.
Acho que amanhã a gringaiada toda vai fazer a farra !",-2,-2,1,0,1,0,0,0,-1,0.0,0.667,0.667,0.667,3
167,453603209777778689l,@imcharliedrew @1avelagay @angela_dias24 @joanarauhl por mim tambem,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,3
169,441216148625833984l,"KROT3 comprar por R$ 39,52 indicado em 20/02/2014 12:11 http://t.co/zJRs3Eeyz9",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
170,451341221877653504l,De gigantes a small caps: as 15 empresas da Bolsa que mais faturaram em 2013: Levantamento f... http://t.co/yG2ElGDCGg #infomoney #vale5,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
171,449398387620982784l,"No diário da #PETR4 fizemos  uma Onda 3 na min de 18/03 e alvos 15,10 15,90 e abaixo de 15,57 14,00 12,60 11,00 http://t.co/P5iato3wCT",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
174,451043452910718978l,8 corretoras apontam as melhores ações para comprar nesta semana: Os papéis da Vale e do Pão... http://t.co/BYQAlss0OB #infomoney #vale5,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
175,468935926518132737l,@ferrisss amanha cedo mando um deposito para comprar 1000 jbss3 acha que vale?,-2,-2,-2,-2,-2,-2,0,0,-1,0.0,0.0,0.0,0.667,3
177,441216020401762305l,"GOAU4 vender por R$ 22,38 indicado em 03/01/2014 15:08 http://t.co/zJRs3Eeyz9",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
178,447053182150393856l,"E aí amigos, tá bom de comprar PETR4 agora ou ainda cai mais um pouco (muito)?",0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
179,450827181191884800l,"@AlexCanoas13 Tá, esquece. Sobre a PETR4, custava 24,71 no início do mandato dela. Bateu 12,60 semana passada antes da pesquisa popularidade",0,1,0,1,0,0,-2,-2,-1,1.0,0.667,0.667,0.0,3
180,446369558149222400l,"@CaciqueInvest não, aviãozinho = #goll4",-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
181,451824667498938368l,"[17h52] Maiores Altas: GOLL4 +5,98% | ELET3 +3,83% | ELET6 +2,09% | CCRO3 +1,74% | SBSP3 +1,34%.",1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
182,450801060664590336l,"RT@SouCalmo #EuApoioCPIdaPetrobras e q Dilma, Foster, Gabrielli se expliquem pelo ROUBO da Petr4 em Pasadena...",0,1,0,1,-2,-2,1,0,-1,1.0,1.0,0.0,1.0,3
186,452581362021593088l,"VALE5 EM 04/04, tempo gráfico de 60 minutos. http://t.co/vPgt0CB6Qy",0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
