,tweet_ids,text_x,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
26,441315359602143232l,"18 ações passam por ' ressaca ' após carnaval e fecham em queda , Vale recua 3 % : Mesmo com proj ... http://t.co/GNveU1iOgh #infomoney#vale5",0,1,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
27,441331112762023936l,Gráfico da #PETR4 ta mais feio que encoxar a mãe no tanque... pelo menos pra quem é zé comprinha...,0,1,0,1,0,0,1,0,0,1.0,1.0,0.667,0.667,3
28,441355386499526656l,ALERTA ELLIOTTBRASIL =&gt; VALE5: Duas oportunidades de compra que estão prestes a acontecer.... http://t.co/Fkwkf7jHHD,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,3
29,441355603936804864l,"ALERTA ELLIOTTBRASIL =&gt, VALE5: Oportunidade de compra que está prestes a acontecer.... http://t.co/uVjidknruB",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
30,441386302311649280l,ESTC3_aguardando o ponto de venda. http://t.co/otrE2VMRLo,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
31,441409696948584448l,"RT @chrinvestor: Preocupações com a #PETR4 não param de crescer: produção, sumiço de investimentos, caixa e o endividamento. Quem arrisca u…",0,1,0,1,1,0,0,1,0,0.667,0.667,0.667,0.667,3
32,441545011491254272l,$MRFG3 - Marfrig (mrfg-nm) - Percentual De Rateio De Sobras http://t.co/qCZO8BIwwl,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
33,441546751867367424l,$BBAS3 - Banco Do Brasil (bbas-nm) - Fato Relevante   Acordo Com Os Correios http://t.co/kW3xh2fjzU,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
34,441550780672540672l,"Ações ex-juros hoje: BBDC3, BBDC4 e MPLU3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/utSF6DP4ug",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
35,441550937262665728l,"Ações ex-dividendos hoje: GGBR3, GGBR4, GOAU3, GOAU4 e MPLU3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
36,441560681247412225l,"na #PETR4 fiquemos de olho em como ela se comporta ao enfrentar os R$13,5x ... Agora a região é resistência ... =/",0,1,0,1,1,0,0,1,0,0.667,0.667,0.667,0.667,3
37,441563014731665408l,Essa notícia do recorde de produção da #PETR4 no pré sal ta com uma cara de ter vindo pra tentar defender fundo...,0,1,0,1,0,1,1,0,0,0.667,0.667,0.667,0.667,3
38,441566478580875265l,$CIEL3 - Cielo (ciel-nm)-ago/e -31/03/2014-10h00-bonificacao/alteracao Do Estatuto Social http://t.co/ZODi2E6KmJ,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
39,441571737994813440l,Aparentemente #LLXL3 se despede do ibov na proxima carteira. Aproveitem para dar tchau! @ferrisss @dfittarelli,-2,-2,-2,-2,1,0,0,0,-1,0.333,0.333,0.667,0.667,3
40,441580131229138944l,"#pdgr3 1,46 bom suporte...de olho....",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
41,441581046753419264l,#ecor3segue seu caminho rsrsr,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
42,441589989944860673l,$PETR3 - Petrobras (petr) - Prod De 40 Mil Barris Dia Cascade E Chinook - Reapresentacao http://t.co/RBAlmZx1OK,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
43,441595069116579840l,HSBC indica compra de ações do Itaú Unibanco e mais 8 papéis: No lugar das ações da Gerdau (... http://t.co/5QGgAdE1ti #infomoney #vale5,1,0,-2,-2,1,0,0,0,-1,0.667,0.0,0.667,0.667,3
44,441602347777925121l,"@danielzatta que nem, to em vale5 agora..comprei a 28,20.. stop de perda em 28,10... e alvo em 28,98.. ou levar ate o leilao de hoje...",0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
45,441608336748720128l,"BBDC4 Linda WW no Daytrade, mesmo entrando atrasado... e saindo cedo.. ,D http://t.co/WQPK5B1lNL",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
46,441614055694811136l,"Solidez faz 3 trocas e indica 8 ações para comprar em março: No lugar das ações da Brookfield (BISA3), da Raia... http://t.co/GQ1FLrN3GZ",-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
47,441618452839936000l,@Live_Trade tem sinal de venda alugada p estc3?,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
48,441629457304940544l,"#BBAS3 OCO no intra, quem gosta das vendinhas... http://t.co/lEZSSC2mb5",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
49,441629764978085888l,"INTRADAY PETR4: Suportes 13,00 e 13,14 e resistências 13,58 e 13,88 INTRADAY VALE5: Suportes 27,44 e 27,77 e resistências 28,67 e 29,24",0,0,0,0,0,0,0,0,1,1.0,0.75,0.75,1.0,4
50,441652670643052544l,"#pdgr3 fez PB 1,51 se não perder fundo, já começo a monitorar possível entrada....",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
51,441690041795215362l,#CVCB3 registrou hoje seu oitavo pregão de alta enquanto #GOAU4 acumulou sua sexta baixa seguida. #LIGT3 #CMIG4 #ALPA4 com 5 altas!,1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
52,441736153918492673l,AEDU3_Venda na perda da mínima http://t.co/1h9fmX8rUD,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
53,441737897742327809l,estc3_Venda na perda da mínima http://t.co/2GO4ZSp8HV,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
54,441739305895985154l,SUZB5_Venda na perda da mínima. http://t.co/GAlpIUw86m,-2,-2,-2,-2,0,1,0,0,-1,0.333,0.333,0.667,0.667,3
55,441913277376110592l,Vale (VALE5) – Adiou para 30 de março o prazo para a decisão sobre o projeto de exploração de potássio. #VisaoAtiva - Marginalmente negativa,0,0,0,1,1,0,0,0,0,0.667,0.667,0.667,0.667,3
56,441915242063224833l,"Sabesp faz manobra para evitar racionamento, Vale e mais 3 estão no radar: Ainda entre os de... http://t.co/3dIZzbmqGA #infomoney #vale5",-2,-2,0,0,0,0,-2,-2,-1,0.0,0.667,0.667,0.333,3
57,441918867078537217l,"#VALE5 suportes e resistências, veja ainda notícia no comentário. http://t.co/sJrLzoBlUT",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
58,441920225861435392l,$ALLL3 - All Amer Lat (alll-nm) - Alteracao De Participacao Acionaria http://t.co/jTshh6boJ6,0,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
59,441921979365752832l,"#bisa3 avalio venda na perde de 1,42",0,1,0,1,1,0,0,1,0,0.667,0.667,0.667,0.667,3
60,441932039294836736l,$LIGT3 - Light S/a (ligt-nm) - Alteracao De o Calendario De Eventos Corporativos http://t.co/XjNJgpnqcw,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
61,441936563992547328l,"#petr4 se &gt; 13,61 brinco na  compra hj novamente",-2,-2,-2,-2,1,0,0,0,-1,0.333,0.333,0.667,0.667,3
62,441936742846042112l,Dasa (#DASA3): Edson Bueno vai à arbitragem contra oferta de compra de ações. http://t.co/OcNo5Tgf15   (Valor),1,0,-2,-2,-2,-2,0,0,-1,0.5,0.0,0.0,0.75,4
63,441952556370374656l,"VALE5 tá muito barata. Mas eu não aumento posição perdedora. Vamos administrandoas opções. Encerrei VALED31 c/lucro de $0,52 cada. Not bad..",1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
64,441957109014732800l,"@Live_Trade ontem quase sai da BRFS3, mas o sistema ainda dava posição comprada...vc realizou?",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
65,441958852410372096l,#PETR4  Vigilante morre durante ataque a caixas eletrônicos na Petrobras - notícias em Santos e Região http://t.co/nd5KXSoEa8 via @g1,0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
66,441961900067524608l,Vou 'monitorar' a operação aqui pelo acho que temos boa chance de ter um movimento direcional forte na PETR4..,1,0,1,0,0,0,0,0,0,0.667,0.667,1.0,0.667,3
67,441968116361609217l,#TIMP3 - Telecom Italia diz que não há conversas de fusão sobre TIM - http://t.co/O502wucYkW,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
68,441969387289845761l,#DASA3 - Cromossomo Participações pede instauração de arbitragem contra Dasa - http://t.co/9akf5KlsB6,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
69,441969694560366592l,"INTRADAY PETR4: Suportes 13,08 e 13,25 e resistências 13,66 e 13,90 INTRADAY VALE5: Suportes 27,78 e 27,94 e resistências 28,35 e 28,60",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
70,441997448626835456l,"FOI ! ! ! OBJ CUMPRIDO ! ! ! RT @Live_Trade: Quem lembra de o Post #Vale5armando uma linda venda de diário ? pois é 27,35 obj de a queda .",-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.0,0.667,0.0,3
71,442001677147996160l,#VALE5: O mau humor em torno da China e notícias de que algumas siderúrgicas do País sofreram corte de... http://t.co/0rnoXMSuoZ,0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
72,442003384850468864l,#SBSP3  imagina a rapaziada no ônibus em São Paulo com racionamento de água!!! PQP!!! vai feder!!!,0,1,0,0,0,0,1,0,0,0.667,0.667,0.667,0.667,3
73,442007959133229056l,"@Live_Trade @Jgrafista11 @aecioneto amigos, vêem venda em a AEDU3? Obg",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
74,442007999989944320l,Comentei ainda com vc que podia ser a venda lá lembra?...rsRT @CaciqueInvest: @Live_Trade olha o que virou a BRFS3....tú é foda hein! :/ kkk,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
75,442011300403888128l,@DuctorMarcus Continuo sentado em Vale5 e só tomado trolha. Mas como o recurso é de LP vou ficar. Yield bom e qquer hora volta ao normal,0,1,0,1,0,0,0,0,0,0.667,0.667,0.667,0.667,3
76,442016957525921792l,Nº de papéis tomados de BBAS3 subiu 45% nos últimos 4 pregões.,1,0,0,0,0,1,-2,-2,-1,0.5,0.5,0.5,0.5,4
77,442029907129143297l,"#vale5 encerrado no leilão 27,09  Loss (-0,96%)",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
78,442031947838418944l,"07/03/14 - 17:20: Maiores Baixas: USIM5 -6,33% R$9,02, LIGT3 -6,04% R$15,85, CESP6 -5,09% R$21,25, CSNA3 -4,97% R$9,16, ELET6 -4,80% R$8,51.",0,0,0,1,1,0,0,0,0,0.667,0.667,0.667,0.667,3
79,442034626115026944l,"Gatilho position, semana que vem:   Ativo bvmf3 - Venda  - Validade 14/mar - Start 9,89 - Stop 10,45 - RP 9,33 http://t.co/YxHS4nZakh",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
80,442035278715166720l,"Gatilho position, semana que vem:   Ativo bbdc4 - Venda  - Validade 14/mar - Start 26,74 - Stop 28,14 - RP 25,34 http://t.co/He6aCGaEZA",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
81,442035844182851584l,"Gatilho position, semana que vem:   Ativo cmig4 - Venda  - Validade 14/mar - Start 12,89 - Stop 13,75 - RP 12,03 http://t.co/MPfzB6Vj0o",-1,-1,0,0,1,0,0,0,-1,0.667,0.667,0.667,0.667,3
82,442036297268330496l,"Gatilho position, semana que vem:   Ativo mrve3 - Venda  - Validade 14/mar - Start 7,86 - Stop 8,57 - RP 7,15 http://t.co/YZMScHz2Ab",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
83,442124576127193088l,"SUZB5_De olho em a venda... Está próximo ,)",-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,1.0,3
84,442261039695290368l,BBAS3 confirma engolfo de baixa do dia 6. O que significa e como identificar esse padrão dos candlesticks. Assista! http://t.co/EhHH5Yl5sY,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
85,442658465542991872l,BVMF3_Segue o trade. http://t.co/RLvRj0RQNl,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
86,442729461692121088l,CIEL3_Compra http://t.co/1svQUA92un,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,3
87,442996770105470976l,Marfrig (MRFG3) – Divulgou seu resultado do 4Q13 apresentando boa melhora com números acima da expectativa. #VisãoAtiva,0,0,1,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
88,442999412265320448l,$DASA3 - Dasa (dasa-nm)- Fato Relevante   Comunicado Cromossomo Prazo De Encermto. Da Opa http://t.co/uVUVxbGicB,-1,-1,0,0,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
89,443013758957658112l,Fibr3 observo p/ compra,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
90,443015427728228352l,"#VALE5: O preço do minério de ferro recuou 8,3% em relação a ultima sexta-feira para US$ 104,7 a tonelada no... http://t.co/5EhMLg8rks",-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
91,443015475661144064l,"Região 24,60 a 24,65 RT @Live_Trade: Fibr3 observo p/ compra",1,0,0,0,1,0,0,0,0,0.667,0.667,1.0,1.0,3
92,443015687200862208l,$AEDU3 - Anhanguera (aedu-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/jBvTIfKBBF,0,0,0,0,0,0,0,0,1,0.5,0.75,0.5,0.5,4
93,443017127906512897l,"IBOVESPA, c/dados ruins de a CHINA sofre maior pressão de bx, de as ações de a Vale, q representam 11,78% de o índice: VALE3, -3,04% e VALE5, -2,80%",0,0,0,1,0,1,0,1,0,0.667,0.667,0.667,0.667,3
94,443017421600071680l,"RT @valoramais: #VALE5: O preço do minério de ferro recuou 8,3% em relação a ultima sexta-feira para US$ 104,7 a tonelada no... http://t.co…",0,0,0,0,-2,-2,0,1,-1,0.667,0.667,0.0,0.667,3
95,443019802525708288l,"INTRADAY PETR4: Suportes 12,97 e 13,15 e resistências 13,56 e 13,79 INTRADAY VALE5: Suportes 26,37 e 26,73 e resistências 27,70 e 28,31",0,0,0,0,0,0,0,0,1,1.0,1.0,0.5,0.75,4
96,443019897816109057l,"Por ordem de Dilma, Mantega fará reunião com 'gigantes' do empresariado: Ministro da fazenda... http://t.co/wEYR2pNDqY #infomoney #vale5",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
97,443023955293917184l,"Tô de olho no HB esperando o MOMENTO HISTÓRICO de PETR4 na era PT. Falta $0,01 pra 13. E 13 é… PT!",0,1,0,0,0,0,1,0,0,1.0,0.667,1.0,0.667,3
98,443024517963972609l,"#PETR4 rompeu a barreira dos R$13,00!! Agora eu me pergunto: e se vier a notícia do rebaixamento da dívida soberana no final deste mês!?",0,1,-2,-2,-2,-2,-2,-2,-1,0.667,0.0,0.0,0.0,3
99,443028707977216000l,VALE5 performando IFR multiplo conjugado com FAD anormal - setup de entradas múltiplas - caso continue a queda amanhã tem nova analise,-1,-1,-1,-1,-2,-2,-1,-1,-1,0.667,0.667,0.333,0.667,3
100,443031972336525312l,#IBOV #KLBN4 Klabin fecha contrato com a Pöyry para Projeto Puma: http://t.co/WPqvXaEQB2,1,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
101,443052011161157632l,"#PETR3 #PETR4 - Petrobras prepara megacaptação de bônus, demanda supera US$12 bi - http://t.co/Bq8mzQiM9d",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
102,443052651430031360l,Está na hora de pensar na PETR3 e na PETR4 com mais carinho?,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,0.667,3
103,443061008530432001l,"PETR4 a 13 pratas, agora me caiu a ficha:  estratégia de marketing brilhante do PT, associando o preço da ação ao seu número de legenda!",0,1,-2,-2,-2,-2,-2,-2,-1,0.667,0.333,0.333,0.333,3
104,443061859529527297l,"RT @serklarvel: PETR4 a 13 pratas, agora me caiu a ficha:  estratégia de marketing brilhante de o PT, associando o preço de a ação a o seu númer…",0,1,-2,-2,-2,-2,-2,-2,-1,0.667,0.333,0.333,0.333,3
105,443063880676159488l,SBSP3 com um belo sinal de entrada de uma WW #volume http://t.co/ONawWUOwE3,1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
106,443069104740917248l,"@CapSpaulding01 Petrobras prepara megacaptação de bônus, demanda supera US$12 bi ---olha aí sua grana #petr4 R$12",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
107,443075536924200960l,"@ferrisss petr4 paradinho nos 11 depois 8,50 ate as eleições.",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
108,443075661473660928l,"#PETR4 histórias fantásticas do #IBOLESMA: investidor passou os últimos anos fazendo venda coberta, praticamente... http://t.co/I0TCjC1hWl",0,1,0,1,0,0,0,1,0,0.667,0.667,0.667,0.667,3
109,443083439202656257l,"Em 3/12 o @nahasbap 'previu' que PETR4 iria 'visitar' os 12. Três meses antes! Esse cara tem informação privilegiada, kkkk... retuíto:",-2,-2,0,0,0,1,0,1,-1,0.0,0.667,0.667,0.667,3
110,443087273215946752l,"Dados da economia da China fazem ações da Vale Mineradora (VALE5), desabarem nesta sessão em -3,80% cotadas em R$ 26,06 (15:13hs)",-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
111,443095041951944704l,@ferrisss E ela é a maior vendedora em VALE5,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
112,443098557596598273l,VALE5 em o topo de as recomendações faz tempo e EU FORA ! .. ô quem poderá em os defender ?,0,0,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
113,443109051715817472l,$PETR3 - Petrobras (petr) - Ago/e - 02/04/2014 - 15h - Distr. De Jcp / Aumento De o Capital http://t.co/vfiIT5AhIW,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
114,443116596328800256l,Foco de empresas de o Brasil em eficiência passa por menos investimento em 2014: Até agora o a... http://t.co/GziH575KhU #infomoney #vale5,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,1.0,3
115,443125288709279744l,"Petrobras (PETR4) lançou nesta segunda-feira (10) oferta de US$ 8,5 bilhões em bônus, em uma operação em seis etapas http://t.co/it9boXQdSp",-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
116,443134089206693888l,Nos últimos 5 pregões #CSNA3 acumulou uma baixa de 17.1% enquanto #USIM5 -14.8% e #VALE5 -10%. Veja o ranking: http://t.co/XjRazUAN9b,-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
117,443135397691154432l,"@PBOLSA #IBOV fecha em baixa de 1,54% aos 45.533 pontos. #AL #BR #PETR4 #VALE5",0,1,0,1,0,0,1,0,0,0.667,0.667,0.667,0.667,3
118,443138797375848448l,"Algoritmo performando 12% acima de o IBOV desde o início....Venda de TIMP3 acionada em os 11,32, BRML3 e ESTC3... http://t.co/6H6bijRv2n",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
119,443147317550784512l,"@emirsader o FGTs aplicado em PETR4, por exemplo.",0,0,0,0,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
120,443150664760578048l,#Boas ... Ainda tenho dúvidas... o + Doido que busca SUPORTE na #Petr4 e RESISTENCIA no S&amp;P ... hehehe,1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
121,443160592845508608l,"Aproveitem para comprar PETR4 enquanto está em a baixa! Vai subir logo, logo! O que eu pude comprar, eu comprei!... http://t.co/u5fEHbSAek",1,0,1,0,1,0,0,0,0,1.0,1.0,1.0,0.75,4
122,443166622409560064l,"#PETR3 #PETR4 - Petrobras precifica emissão de US$8,5 bi, demanda supera US$22 bi - http://t.co/EsHc5R6XTA",-2,-2,-2,-2,-2,-2,-1,-1,-1,0.333,0.333,0.333,0.667,3
123,443188111057887232l,"#OIL #PETR4 Petrobras aumenta investimento na Argentina, diz site, empresa nega. http://t.co/vasP1DxOM8",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
124,443207013405700096l,A Light S.A. arquivou a ata de a Reunião de o Conselho de Administração realizada hoje. Confira: http://t.co/F8LbSlsFfV $LIGT3,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,1.0,3
125,443217384078598144l,#PETR4 seguindo o mesmo caminho da #OGXP3,0,0,0,1,1,0,0,1,0,0.667,0.667,0.667,0.667,3
126,443349556143878144l,#ITUB4 Suportes e resistências http://t.co/MwL9JDL7iC,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
127,443349920305922048l,#BBAS3 Suportes e resistências http://t.co/ls8561u4z4,0,0,0,0,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
128,443350283712987136l,#BBDC4 Suportes e resistências http://t.co/X3duJWXJaj,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
