,ids,tweets,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
11,441195166905290753l,"Papeis que negociaram mais taxas #KROT3, #OIBR4, #RENT3, #BRSR6 Intrusos são o primeiro e último. Olho neles! @ferrisss @dfittarelli",-2,-2,-1,-1,1,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
12,441209700580077569l,"#ESTC3 acumula 7 pregões seguidos de alta. #FLRY3 , #ANIM3 e #CVCB3 já estão com 6 altas consecutivas. #LPSB3 e #MGLU3 com 5 quedas seguidas",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
13,441209778648653824l,$PETR3 - Petrobras (petr) -candidatos Indicados Pelo Acionista Controlador Para O Ca E Cf http://t.co/D7kOIsDzeZ,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
14,441215300357586944l,$PETR3 - Petrobras ( petr ) - Candidatos Ind. Por os Acionistas Nao Controladores P . Ca E Cf http://t.co/3ikzgdwt6j,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
15,441215587843178496l,"BBAS3 comprar por R$ 20,05 indicado em 27/02/2014 10:41 http://t.co/zJRs3Eeyz9",-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
16,441215631241641984l,"BISA3 comprar por R$ 1,47 indicado em 17/02/2014 10:33 http://t.co/zJRs3Eeyz9",-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
17,441215669518872576l,"BRAP4 vender por R$ 22,25 indicado em 19/02/2014 10:14 http://t.co/zJRs3Eeyz9",-2,-2,0,0,1,0,0,0,-1,0.0,0.667,0.667,0.667,3
18,441215713227718656l,"BRKM5 vender por R$ 17,82 indicado em 18/02/2014 16:36 http://t.co/zJRs3Eeyz9",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
19,441215788083458048l,"CSNA3 vender por R$ 10,86 indicado em 18/02/2014 15:07 http://t.co/zJRs3Eeyz9",1,0,0,0,1,0,0,0,0,1.0,1.0,0.667,1.0,3
20,441215825853169664l,"ELET3 comprar por R$ 4,85 indicado em 26/02/2014 13:40 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
21,441215859554414593l,"ELET6 comprar por R$ 9,06 indicado em 27/02/2014 13:41 http://t.co/zJRs3Eeyz9",0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
22,441215891921858561l,"ELPL4 vender por R$ 7,96 indicado em 28/02/2014 11:33 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,0.667,3
23,441215926608736256l,"ESTC3 comprar por R$ 20,63 indicado em 25/02/2014 10:30 http://t.co/zJRs3Eeyz9",1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
24,441215956757405697l,"GFSA3 comprar por R$ 3,09 indicado em 26/02/2014 11:21 http://t.co/zJRs3Eeyz9",-2,-2,0,0,-2,-2,0,0,-1,0.0,0.667,0.0,0.667,3
25,441215991377182720l,"GGBR4 vender por R$ 17,84 indicado em 03/01/2014 15:26 http://t.co/zJRs3Eeyz9",1,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
26,441216020401762305l,"GOAU4 vender por R$ 22,38 indicado em 03/01/2014 15:08 http://t.co/zJRs3Eeyz9",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
27,441216053905850368l,"GOLL4 vender por R$ 11,05 indicado em 28/02/2014 14:30 http://t.co/zJRs3Eeyz9",1,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
28,441216085618995201l,"ITUB4 vender por R$ 31,16 indicado em 28/02/2014 13:26 http://t.co/zJRs3Eeyz9",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
29,441216119592869888l,"JBSS3 comprar por R$ 7,69 indicado em 28/02/2014 10:18 http://t.co/zJRs3Eeyz9",1,0,0,0,1,0,0,0,0,0.667,1.0,1.0,1.0,3
30,441216148625833984l,"KROT3 comprar por R$ 39,52 indicado em 20/02/2014 12:11 http://t.co/zJRs3Eeyz9",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
31,441216198681055232l,$PETR3 - Petrobras (petr) - Candidatos Indicados Pelo Acionista Nao Controlador Para O Ca http://t.co/0UddVivQ3V,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
32,441216204091322368l,"LLXL3 vender por R$ 1,00 indicado em 16/01/2014 15:12 http://t.co/zJRs3Eeyz9",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
33,441216288275173376l,"MRFG3 comprar por R$ 3,90 indicado em 21/02/2014 12:04 http://t.co/zJRs3Eeyz9",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
34,441216321779298304l,"MRVE3 comprar por R$ 8,10 indicado em 28/02/2014 13:33 http://t.co/zJRs3Eeyz9",1,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,0.667,3
35,441216406466486272l,"OIBR4 vender por R$ 4,27 indicado em 17/02/2014 11:49 http://t.co/zJRs3Eeyz9",0,0,0,0,1,0,0,0,0,1.0,1.0,0.667,1.0,3
36,441216450670243841l,"PDGR3 comprar por R$ 1,56 indicado em 27/02/2014 15:46 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
37,441216481817149440l,"PETR3 vender por R$ 13,21 indicado em 19/02/2014 10:11 http://t.co/zJRs3Eeyz9",0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
38,441216514729848832l,"PETR4 vender por R$ 14,38 indicado em 17/02/2014 16:44 http://t.co/zJRs3Eeyz9",1,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
39,441216545230823424l,"RSID3 comprar por R$ 1,75 indicado em 27/02/2014 13:29 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
40,441216604987068417l,"USIM5 vender por R$ 11,64 indicado em 11/02/2014 12:26 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
41,441216632107438080l,"VALE3 vender por R$ 32,82 indicado em 28/02/2014 11:57 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
42,441218985657659392l,"#VALE5: O minério de ferro está cotado hoje em US$ 116,7 a tonelada em o mercado a a vista (spot) chinês, o menor... http://t.co/HIJN6WUTUe",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
43,441221519025262592l,"Projeção para o preço de abertura da #VALE5 em função da arbitragem da ADR e do dolar deste momento: R$ 28,78",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
44,441222037189562368l,HSBC mostra como ganhar dinheiro na Bolsa com os riscos de 'apagão' no Brasil: Quem pensa qu... http://t.co/3gDnlmElHF #infomoney #vale5,0,0,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
45,441229081250906113l,"É hoje que a #PETR4 dá adeus ao fundo de 2008? Bom, pelo menos já temos a Rússia pra culpar né?",0,1,-2,-2,0,0,-2,-2,-1,0.667,0.333,0.667,0.333,3
46,441230709789700096l,"#SBSP3: Apesar das chuvas do feriado, o nível de água dos reservatórios do sistema Cantareira teve nova queda... http://t.co/UJ30hzmCye",0,1,0,1,-2,-2,0,1,-1,0.667,0.667,0.0,0.667,3
47,441231959801737217l,"$ALLL3 - All Amer Lat (alll-nm) - Debentures Da 5a Emissao, Serie Unica, Ex-juros http://t.co/XOHGaiIXb9",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
48,441232296549814272l,#VALE5 suportes e resistências http://t.co/c8OrWXrECN,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
49,441232632815558656l,#ITUB4 suportes e resistências http://t.co/OAX2wE9OaR,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
50,441232913498386433l,#BBDC4 suportes e resistências http://t.co/B6q9STwuQD,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
51,441233076748681216l,"' Salvação ' de a OGX e OSX pode estar a a caminho , mais 5 empresas estão em o radar : Nível de o reser ... http://t.co/WYotABlDa5 #infomoney#vale5",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
52,441233204976971778l,"@FernandoGoes1 #PETR4 Se não fossem as vendas de ativos e alguns acertos contábeis o resultado seria R$ 2,2 bilhões http://t.co/1ekfbHY1rq",0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.0,0.0,3
53,441233917132025856l,#BRFS3 Nos EUA rompeu resistência http://t.co/BEDWiwYfXR,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
54,441235701271912448l,$BRFS3 - Brf Sa (brfs) - Renuncia E Eleicao De Membros Do C.a. http://t.co/f41iizYOak,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0.667,3
55,441236209134993410l,$MRFG3 - Marfrig (mrfg-nm)-encerramento Prazo De Preferencia /inicio De o Periodo De Sobras http://t.co/tWzEE1HdrT,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
56,441239139766513664l,"Vale #VALE5 só não ta caindo mais que a Petrobrás #PETR4, a coisa ta feia",0,1,0,1,0,1,0,1,0,1.0,1.0,0.667,0.667,3
57,441241903300755461l,"Análises técnicas para IBOV, S&P500, PETR4, VALE5, ABEV3, VIVT4, CMIG4, NATU3, ITUB4, PDGR3 e GGBR4  http://t.co/w456bv52ox",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
58,441243293221789697l,Como foram as ações de Petrobras e Vale em Nova York durante o carnaval?: Papéis de empresas... http://t.co/fHQzm2rsUR #infomoney #vale5,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
59,441244662418796544l,"Ainda é cedo mas.. #VALE5 28,50 again #RENT3 apanhando quase 2% (Será?) #BRKM5 segue apanhando acima de o ibov #BRSR6 queda em linha com setor",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
60,441245930285563904l,Essa #KROT3 é um mistério. Tenho a olhada de perto desde os R$ 35. Papel bem alugado mas não cede nunca! @ferrisss,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,0.667,3
61,441246872813187072l,"#vale5 região 28,52 monitoro",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
62,441250681228255232l,"Ativa indica 5 papéis para comprar ainda esta semana: Saíram as ações da Vale (VALE5), ... http://t.co/LA69RzFm6v http://t.co/Zcsm6jYXyW",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
63,441250683505741824l,"Opinião - Ativa indica 5 papéis para comprar ainda esta semana: Saíram as ações da Vale (VALE5), da Klabin (KL... http://t.co/ClomJYgax5",0,0,0,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
64,441251369304227840l,MRVE3 vender a R$ 7.99 indicado em 05/03/2014 13:29 e finalizou a compra com resultado de R$ -0.11 ou -1.36 % http://t.co/kgt1YiTbF7,-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
65,441252640320933889l,"Ação ex-dividendos hoje: CSNA3, ITSA3, ITSA4, ITUB3 e ITUB4. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
66,441252664345501696l,"Petr4 aos 13.90 com topo  em 15,10. Vai perdendo o fundo em 15,56",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
67,441253169343905792l,"Vale5  28,57 com fundo em 27,87 e topo 31,25, Negou fundo superior em 28,71. .Observar onde para de cair.",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
68,441253624878878721l,"Vale e siderúrgicas caem com China, Petrobras vira para queda: Mais informações em breve http://t.co/NcpoktfgH0 #infomoney #vale5",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
69,441254192213016576l,"Ativa indica 5 papéis para comprar ainda esta semana: Saíram as ações da Vale (VALE5), da Klabin (KLBN3) e da... http://t.co/YOeRVhjfed",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
70,441254749862514688l,O negócio é investir em PUTs de boas empresas!! #VALE5 #PETR4,1,0,1,0,1,0,0,0,0,1.0,1.0,0.667,1.0,3
71,441257030935121920l,KKKK Na mosca! RT @picapautrader: O negócio é investir em PUTs de boas empresas!! #VALE5 #PETR4,1,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
72,441258709411708928l,"#PETR3 na casa dos 12, logo a #PETR4 chega lá. Obrigado @dilmabr por ferrar com a empresa.",0,1,0,0,-2,-2,1,0,-1,0.667,0.667,0.0,1.0,3
73,441259169996615680l,Algo me diz que vou ver a #PETR4 em a casa de os 12 hoje ainda.. vamos aguardar.. :),1,0,1,0,1,0,0,0,0,1.0,1.0,1.0,1.0,3
74,441259992239202305l,Gatilho em bvmf3 CANCELADO! http://t.co/RRcYflsVzG,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
75,441260111558742017l,BVMF3 cancelado - bateu no stop antes de acionar,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
76,441261378905841665l,PDGR3 vender a R$ 1.47 indicado em 05/03/2014 14:18 e finalizou a compra com resultado de R$ -0.09 ou -5.77 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
77,441265962352771072l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:  ALLL3 7,09 Ativo c/ vol Financeiro Superior à sua MM21-14h: PFRM3",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
78,441266200925188096l,caramba ... a #PETR4 tá com o IFR abaixo de 5 há 8 semanas !! o.O (nunca vi isso antes ...),0,0,0,0,0,1,0,0,0,1.0,0.667,1.0,1.0,3
79,441266784742563841l,"@clubedopairico Vamos solicitar a retirada da PETR4 do índice, igual retiraram OGXP3 ehehehhe.",-2,-2,1,0,0,0,0,0,-1,0.0,0.667,0.667,1.0,3
80,441270398416855041l,#brfs3 foguetão .....,-1,-1,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
81,441270974122827776l,JBSS3 vender a R$ 7.39 indicado em 05/03/2014 14:56 e finalizou a compra com resultado de R$ -0.30 ou -3.90 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
82,441271548268511233l,"Ouçam o Lambari… PETR4 vai a $13, numa JUSTA homenagem ao PT, qua qua qua...",0,1,0,0,1,0,1,0,0,0.667,0.667,0.667,0.667,3
83,441272673851936768l,"#pdgr3 demorou mas veio.....monitoro 1,46",0,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
84,441274491155787776l,$BRFS3 - Brf Sa (brfs-nm) - Renuncia E Eleicao De Membros Do C.a. (complemento) http://t.co/0uRQWZmhv5,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
85,441275601010577410l,@CaciqueInvest E #brfs3 então...vc já deu uma olhada?,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,0.667,3
86,441276013008666625l,"#ecor3 fechando 15  acima 12,53 já fica interessante",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
87,441276304462446592l,"#petr4 King Kong me acordem qdo bater em 12,50 que tenho interesse ....rsrsr",-2,-2,-2,-2,1,0,0,0,-1,0.333,0.333,0.667,1.0,3
88,441282953298337792l,"Vamos ver se mesmo em dia fraco , ganha alguma força ... RT @Live_Trade: #ecor3fechando 15 acima 12,53 já fica interessante",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
89,441284964324483072l,"ecor3 obj1 12,89 será que bate hj?",-2,-2,0,0,-2,-2,0,1,-1,0.333,0.667,0.333,0.667,3
90,441285961402417154l,A China está derretendo ou algo do gênero para a #vale5 estar apanhando desse jeito? #bovespa,0,1,0,1,0,1,0,1,0,0.667,0.667,0.667,0.667,3
91,441288309286141952l,"$PETR4 nesse instante aos 13,32. #tátudobem",1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
92,441288819766091776l,"Rastreamento ações-Gráfico diário-16h. Analise se romper:  ALLL3 7,09 BRML3 18,25",0,0,-2,-2,0,1,-2,-2,-1,0.667,0.333,0.667,0.333,3
93,441288845510733824l,Ativo c/ vol Financeiro Superior à sua MM21-16h: BBRK3 IMCH3 PFRM3 TAEE11 TIMP3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
94,441294832774836224l,"Corretora indica compra de Vale, Cielo e mais 8 ações, confira: Permanecem entre as recomend... http://t.co/tveDkCIOc0 #infomoney #vale5",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
95,441298264323657728l,"@Live_Trade nas suas projeções, CSNA3 mergulha até que faixa de preço?",0,1,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
96,441299470852976640l,"#BR #BOVESPA #BRPR3 BR Properties anuncia venda de R$ 3,18 bilhões em imóveis. http://t.co/ip3sXYLaXA  #IBOV - 0,93% aos 46.654 pontos.",1,0,1,0,0,1,0,0,0,0.5,0.5,0.75,0.75,4
97,441299691763159040l,caramba ... hoje a #PETR4 tocou (na verdade está nela ...) a média de 200 meses !!!!! o.O Isso nunca aconteceu !!!,1,0,1,0,0,1,0,0,0,0.667,0.667,1.0,1.0,3
98,441306780032065536l,#ecor3 e #brsr6 papeis que deram um caldinho hj na contra-mão do mercado....,-2,-2,0,0,0,1,0,0,-1,0.0,0.667,1.0,0.667,3
99,441306912231923713l,"05/03/14 - 17:19: Maiores Altas: BRFS3 4,38% R$44,80, ALLL3 2,81% R$6,94, KROT3 2,76% R$44,91, GFSA3 2,42% R$3,38, ECOR3 2,18% R$12,62.",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
100,441307148849405952l,"05/03/14- 17:20 : Maiores Baixas : BRAP4 - 4,50 % R$ 20,35 , RSID3 - 4,09 % R$ 1,64 , VALE5 - 3,50 % R$ 28,07 , CSNA3 - 3,40 % R$ 9,60 , BRKM5 - 3,28 % R$ 15,62 .",-2,-2,0,0,0,0,0,1,-1,0.0,0.667,0.667,0.667,3
101,441307675486609410l,Sem falar das queridinhas de SW brfs3 e artr3  (sled4 devlveu hj),0,1,-1,-1,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
102,441315359602143232l,"18 ações passam por ' ressaca ' após carnaval e fecham em queda , Vale recua 3 % : Mesmo com proj ... http://t.co/GNveU1iOgh #infomoney#vale5",0,1,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
103,441331112762023936l,Gráfico da #PETR4 ta mais feio que encoxar a mãe no tanque... pelo menos pra quem é zé comprinha...,0,1,0,1,0,0,1,0,0,1.0,1.0,0.667,0.667,3
104,441338228746891264l,"Confira as análises atualizadas de BVMF3, ITUB4, PDGR3, PETR4, USIM5 e VALE5 no INVISTA EM AÇÕES http://t.co/YWnlY5cM6J",0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
105,441347872915607552l,"@clubedopairico estou curioso para ler o 'aluguel de ações' amanhã. Com a nossa querida PETR4 fechando em a mínima, onde vamos parar? Abraço Zé",0,1,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
106,441353701735669761l,"As ações #PETR4 caíram -2,20% só hoje, está em R$ 13,29 ,qual será o fundo do poço?! @marthaeferreira @Rconstantino @Ricamconsult @infomoney",0,1,0,1,0,0,1,0,0,1.0,0.667,0.667,0.667,3
107,441355386499526656l,ALERTA ELLIOTTBRASIL =&gt; VALE5: Duas oportunidades de compra que estão prestes a acontecer.... http://t.co/Fkwkf7jHHD,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,3
108,441355603936804864l,"ALERTA ELLIOTTBRASIL =&gt, VALE5: Oportunidade de compra que está prestes a acontecer.... http://t.co/uVjidknruB",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
109,441371156814102528l,"Petrobrás Pn (Petr4), Gráfico Diário. Ação registr... http://t.co/Zsml5piTaT",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,0.667,3
110,441371920533966848l,"Macktrader Investimentos : Vale Pn (Vale5), Gráfico Diário. http://t.co/RIuXBsGij2",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
111,441377317600763904l,"Macktrader Investimentos : Banco do Brasil On (Bbas3), Gráfico Diário. http://t.co/9pBbMOk8Nh",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
112,441377820380393472l,"Macktrader Investimentos : Itau Unibanco Pn (Itub4), Gráfico Diário. http://t.co/hj9FKrdtZL",0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
113,441386302311649280l,ESTC3_aguardando o ponto de venda. http://t.co/otrE2VMRLo,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
114,441396685957505024l,"#BRPR3 - BR Properties decide vender R$ 3,2 bi em imóveis para LPP Empreendimentos - http://t.co/vpcasL87VK",1,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
115,441409696948584448l,"RT @chrinvestor: Preocupações com a #PETR4 não param de crescer: produção, sumiço de investimentos, caixa e o endividamento. Quem arrisca u…",0,1,0,1,1,0,0,1,0,0.667,0.667,0.667,0.667,3
116,441411471344697345l,"#petr4 abriu as porteiras, agora passa uma boiada! O elástico começou a esticar, a mão invisível logo logo vai entrar pesado nesse papel!",0,1,0,1,1,0,1,0,0,0.667,0.667,0.667,0.667,3
117,441412138692018176l,"RT @EconomiaBr: #GFSA3 - Gafisa tem lucro líquido de R$ 921,3 milhões no último trimestre de 2013 - http://t.co/cjoaqZ1Qeu",1,0,0,0,0,0,0,0,0,1.0,0.667,0.667,1.0,3
118,441535481986048000l,Aluguel de ações - http://t.co/tzb4wpoZXG (as informações de hoje podem não agradar a todos ... ainda mais os que têm a #PETR4 a mais tempo),0,1,0,1,0,1,0,1,0,1.0,1.0,0.667,0.667,3
119,441542441091743744l,"Publiquei novos estudos gráficos de ações #TAEE11, #ETER3, #BRSR6, #TOTS3, #BVMF3, #CCRO3, #LREN3, #ALLL3, #IGTA3 http://t.co/oRA4bA8Qye",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
120,441545011491254272l,$MRFG3 - Marfrig (mrfg-nm) - Percentual De Rateio De Sobras http://t.co/qCZO8BIwwl,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
121,441546751867367424l,$BBAS3 - Banco Do Brasil (bbas-nm) - Fato Relevante   Acordo Com Os Correios http://t.co/kW3xh2fjzU,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
122,441550780672540672l,"Ações ex-juros hoje: BBDC3, BBDC4 e MPLU3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/utSF6DP4ug",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
123,441550844891508737l,Mídia anuncia q. estrangeiros voltam a comprar na Bovespa. Resta saber se será suficiente pra #PETROBRAS #PETR4 dar uma repicada. Agora vai?,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
124,441550937262665728l,"Ações ex-dividendos hoje: GGBR3, GGBR4, GOAU3, GOAU4 e MPLU3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
125,441551076610027520l,$PETR3 - Petrobras (petr) - Producao De 40 Mil Barris Por Dia Em Cascade & Chinook http://t.co/pN8dvarHzp,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
126,441551758993924096l,$PETR4 - Petrobras surpreende: Novo recorde no pré-sal [Newsletter ADVFN] http://t.co/IFHJJ3zNut,-2,-2,-2,-2,0,1,0,0,-1,0.0,0.0,0.667,0.667,3
127,441552735897280512l,"Natura contesta cobrança de R$ 628 mi, Petrobras e mais 4 estão no radar: Ainda entre os des... http://t.co/m9QMeRDxsk #infomoney #vale5",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
128,441552736673218561l,"10 ações para ganhar dinheiro em março, segundo a Um Investimentos: Neste mês, a corretora o... http://t.co/sUVW1ac2LX #infomoney #vale5",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
129,441553962857025537l,"Petrobras surpreende : Novo recorde em o pré-sal A PETROBRAS ( PETR4 ) informou ontem a a noite , após o fechamento de o ... http://t.co/tOdUdKD8dF",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
